gene,group_2field,catalogued_3field_variants,observed_3field_variants,n_individuals,dominant_ancestry,dominant_ancestry_share
B,51:42,0,1,3,eur,100.0
B,44:212,0,0,3,amr,66.7
B,56:10,0,0,3,eas,100.0
B,39:212,0,0,3,amr,100.0
B,07:235,0,0,3,afr,100.0
B,35:77,0,0,3,eur,100.0
B,35:120,0,0,3,eur,100.0
B,15:42,0,0,3,eur,100.0
B,15:62,0,0,3,afr,100.0
B,15:55,0,0,3,amr,66.7
B,53:17,2,1,3,eur,33.3
B,40:50,1,1,3,sas,100.0
B,35:402,0,0,3,afr,33.3
B,35:584,0,0,3,eur,100.0
B,15:110,0,0,3,amr,100.0
B,35:44,0,0,3,amr,66.7
B,44:22,0,0,3,eur,100.0
B,51:56,3,2,3,eur,100.0
B,40:13,0,0,3,amr,100.0
B,15:56,0,0,3,eas,66.7
B,15:153,0,0,3,eur,100.0
B,56:60,0,0,3,eur,100.0
B,41:07,0,0,3,amr,100.0
B,38:09,0,0,3,eur,100.0
B,58:36,0,0,3,eur,66.7
B,44:13,0,0,3,eur,66.7
B,35:87,0,0,2,eur,50.0
B,39:43,0,0,2,eur,100.0
B,13:04,0,0,2,eur,100.0
B,07:33,3,1,2,eur,100.0
B,15:157,0,0,2,eur,100.0
B,15:51,0,0,2,eur,100.0
B,40:21,0,0,2,eur,100.0
B,07:42,0,0,2,amr,50.0
B,08:56,3,1,2,eur,100.0
B,51:29,0,0,2,eur,100.0
B,15:142,0,0,2,eur,100.0
B,44:20,0,0,2,eur,100.0
B,15:46,0,0,2,eas,50.0
B,44:28,2,1,2,afr,100.0
B,39:156,0,0,2,eur,100.0
B,07:127,0,0,2,amr,50.0
B,38:03,0,0,2,amr,100.0
B,35:36,0,0,2,eur,100.0
B,35:167,0,0,2,eur,100.0
B,15:132,0,0,2,eur,100.0
B,18:28,0,0,2,eur,100.0
B,15:141,0,0,2,eas,100.0
B,13:11,0,0,2,eur,100.0
B,15:371,0,0,2,eur,100.0
B,51:23,0,0,2,amr,100.0
B,15:64,2,1,2,eas,50.0
B,40:472,0,0,2,amr,100.0
B,35:204,0,0,2,eur,100.0
B,27:20,0,0,2,eas,100.0
B,35:108,2,1,2,amr,100.0
B,35:149,0,0,2,amr,100.0
B,48:12,0,0,2,amr,100.0
B,53:08,2,1,2,afr,50.0
B,40:49,0,0,2,eur,100.0
B,35:477,0,0,2,amr,100.0
B,58:06,0,0,2,afr,100.0
B,40:99,0,0,2,amr,100.0
B,39:74,0,0,2,eur,100.0
B,35:99,0,0,2,afr,50.0
B,53:06,0,0,2,amr,50.0
B,35:218,0,0,2,eur,100.0
B,15:182N,0,0,2,eur,100.0
B,48:06,0,0,2,amr,100.0
B,56:15,0,0,2,eur,100.0
B,40:114,2,1,2,eur,100.0
B,35:247,2,1,2,eur,100.0
B,56:16,0,0,2,eur,100.0
B,52:11,2,2,2,eur,50.0
B,35:254,0,0,1,eur,100.0
B,44:60,0,0,1,amr,100.0
B,49:18,2,1,1,amr,100.0
B,18:40,0,0,1,eur,100.0
B,51:148,0,0,1,afr,100.0
B,27:59N,0,0,1,amr,100.0
B,18:44,2,1,1,eur,100.0
B,07:16,0,0,1,eur,100.0
B,40:28,0,0,1,amr,100.0
B,39:29,0,0,1,eur,100.0
B,51:79,0,0,1,eur,100.0
B,18:142,0,0,1,sas,100.0
B,35:214,0,0,1,eur,100.0
B,07:359,0,0,1,afr,100.0
B,15:123,0,1,1,mid,100.0
B,37:05,0,0,1,eas,100.0
B,15:556,0,0,1,eur,100.0
B,13:08,0,0,1,eur,100.0
B,35:121,0,0,1,amr,100.0
B,39:58,2,1,1,amr,100.0
B,44:68,0,0,1,eur,100.0
B,15:113,0,0,1,sas,100.0
B,08:124,0,0,1,eur,100.0
B,50:04,2,1,1,sas,100.0
B,55:18,0,0,1,eas,100.0
B,39:40,2,1,1,eur,100.0
B,39:34,0,0,1,amr,100.0
B,07:479N,0,0,1,eur,100.0
B,44:206,0,0,1,eur,100.0
B,40:07,0,0,1,eur,100.0
B,15:654,0,0,1,afr,100.0
B,08:02,0,0,1,eur,100.0
B,53:46,0,0,1,amr,100.0
B,15:446,0,0,1,eur,100.0
B,35:170,0,0,1,eur,100.0
B,56:74,0,0,1,eur,100.0
B,51:73,0,0,1,eur,100.0
B,51:404,0,0,1,eur,100.0
B,27:35,0,0,1,eur,100.0
B,27:127,0,0,1,eur,100.0
B,07:43,0,0,1,afr,100.0
B,52:37,0,0,1,amr,100.0
B,35:426,0,0,1,eur,100.0
B,15:108,0,0,1,amr,100.0
B,51:356,0,0,1,eur,100.0
B,52:03,0,0,1,amr,100.0
B,07:372,0,0,1,eur,100.0
B,27:47,0,0,1,eur,100.0
B,40:129,0,0,1,amr,100.0
B,35:624,0,0,1,eur,100.0
B,44:166,0,0,1,afr,100.0
B,51:49,0,0,1,eur,100.0
B,35:321,0,0,1,amr,100.0
B,44:416,0,0,1,eur,100.0
B,35:178,0,0,1,amr,100.0
B,53:13,0,0,1,eur,100.0
B,51:127,0,0,1,amr,100.0
B,44:216,0,0,1,eur,100.0
B,07:27,0,0,1,eur,100.0
B,35:72,0,0,1,amr,100.0
B,40:226,0,0,1,amr,100.0
B,53:35,0,0,1,afr,100.0
B,15:106,0,0,1,eas,100.0
B,35:122,0,0,1,eur,100.0
B,39:174,0,0,1,amr,100.0
B,35:140,0,0,1,afr,100.0
B,39:117,0,0,1,eur,100.0
B,44:16,0,0,1,eur,100.0
B,35:141,0,0,1,amr,100.0
B,27:19,2,1,1,eur,100.0
B,15:225,0,0,1,eur,100.0
B,15:189,2,1,1,eur,100.0
B,40:533,0,0,1,eas,100.0
B,13:160,0,0,1,eur,100.0
B,53:02,0,0,1,afr,100.0
B,35:135,0,0,1,amr,100.0
B,15:68,0,0,1,eas,100.0
B,27:53,0,0,1,eur,100.0
B,15:652,0,0,1,eur,100.0
B,49:02,0,0,1,eur,100.0
B,46:08,0,0,1,eas,100.0
B,18:15,0,0,1,eur,100.0
B,44:85,2,1,1,amr,100.0
B,08:78,0,0,1,eur,100.0
B,08:255,0,0,1,eur,100.0
B,41:06,0,0,1,amr,100.0
B,15:44,0,0,1,eas,100.0
B,58:33,0,0,1,eur,100.0
B,15:315,0,0,1,eur,100.0
B,35:480,0,0,1,amr,100.0
B,08:22,0,0,1,eur,100.0
B,35:123,0,0,1,amr,100.0
B,35:188,0,0,1,eas,100.0
B,44:210,2,1,1,eur,100.0
B,08:26,3,1,1,afr,100.0
B,18:98,2,1,1,afr,100.0
B,15:384,2,1,1,amr,100.0
B,52:51,0,0,1,eas,100.0
B,49:10,0,0,1,eur,100.0
B,08:36,0,0,1,amr,100.0
B,51:40,2,1,1,eur,100.0
B,53:20,0,0,1,afr,100.0
B,13:13,2,1,1,eas,100.0
B,40:47,0,0,1,eur,100.0
B,40:298,2,1,1,amr,100.0
B,13:190,0,0,1,amr,100.0
B,53:14,0,0,1,afr,100.0
B,44:120,0,0,1,eur,100.0
B,40:30,0,0,1,amr,100.0
B,44:414,0,0,1,eur,100.0
B,35:124,0,0,1,eas,100.0
B,35:33,0,0,1,eur,100.0
B,27:17,0,0,1,eur,100.0
B,51:20,0,0,1,eur,100.0
B,35:136,0,0,1,eur,100.0
B,39:164,0,0,1,amr,100.0
B,35:502,0,0,1,amr,100.0
B,07:516,1,1,1,amr,100.0
B,18:09,0,0,1,eur,100.0
B,40:42,0,0,1,eur,100.0
B,35:289,0,0,1,afr,100.0
B,15:83,1,1,1,amr,100.0
B,35:343,0,0,1,amr,100.0
B,57:161,0,0,1,eur,100.0
B,44:32,0,0,1,amr,100.0
B,52:23,0,0,1,eur,100.0
B,56:05,1,1,1,eas,100.0
B,40:175,0,0,1,amr,100.0
B,56:25,0,0,1,afr,100.0
B,53:18,0,0,1,afr,100.0
B,40:511N,0,0,1,amr,100.0
B,38:20,2,1,1,eur,100.0
B,15:61,0,0,1,afr,100.0
B,53:43,2,1,1,afr,100.0
B,51:220,0,0,1,amr,100.0
B,13:10,0,0,1,eur,100.0
B,50:07,0,0,1,sas,100.0
B,18:168,0,0,1,eur,100.0
B,18:150,0,0,1,eur,100.0
B,44:453,0,0,1,eur,100.0
B,35:150,2,1,1,eur,100.0
B,55:23,0,0,1,eas,100.0
B,15:545,0,0,1,eur,100.0
B,52:06,3,1,1,eur,100.0
B,37:10,0,0,1,amr,100.0
B,07:160,0,0,1,eur,100.0
B,56:31,0,0,1,eur,100.0
B,08:50,0,0,1,amr,100.0
B,15:70,0,0,1,eur,100.0
B,53:42,0,0,1,amr,100.0
B,37:27,0,0,1,eur,100.0
B,53:04,0,0,1,eur,100.0
B,18:19,0,0,1,eur,100.0
B,14:14,0,0,1,amr,100.0
B,38:10,0,0,1,eur,100.0
B,14:56,0,0,1,eur,100.0
B,44:37,3,1,1,eur,100.0
B,35:50,0,0,1,amr,100.0
B,35:205,3,1,1,sas,100.0
B,39:75,0,0,1,amr,100.0
B,35:583,0,0,1,eur,100.0
B,35:256,0,0,1,eur,100.0
B,07:151,2,1,1,eur,100.0
B,35:627,0,0,1,sas,100.0
B,58:22,0,0,1,amr,100.0
B,56:94,0,0,1,eas,100.0
B,35:103,0,0,1,amr,100.0
B,55:03,0,0,1,sas,100.0
B,40:80,0,0,1,eur,100.0
B,15:236,0,0,1,amr,100.0
B,48:13,0,0,1,amr,100.0
B,35:231,0,0,1,amr,100.0
B,15:89,2,1,1,sas,100.0
B,15:180,0,0,1,amr,100.0
B,35:538,0,0,1,eur,100.0
B,35:346,0,0,1,amr,100.0
B,41:10,0,0,1,eur,100.0
B,35:233,0,0,1,amr,100.0
B,40:232,0,0,1,amr,100.0
B,56:84,0,0,1,eur,100.0
B,39:32,0,0,1,eur,100.0
B,52:40,0,0,1,amr,100.0
B,42:09,0,0,1,afr,100.0
B,35:144,0,0,1,eur,100.0
B,56:11,0,0,1,eur,100.0
B,07:18,2,1,1,amr,100.0
B,55:07,0,0,1,eas,100.0
B,56:17,0,0,1,eur,100.0
B,44:49,0,0,1,eur,100.0
B,15:389,0,0,1,afr,100.0
B,15:150,0,0,1,amr,100.0
B,15:581,0,0,1,amr,100.0
B,15:155,0,0,1,amr,100.0
C,04:01,180,26,135293,eur,46.3
C,07:01,139,22,133321,eur,66.1
C,07:02,176,18,121897,eur,63.4
C,06:02,131,16,87168,eur,61.9
C,03:04,125,34,69955,eur,59.2
C,05:01,89,21,64387,eur,75.8
C,16:01,55,7,49262,eur,40.0
C,12:03,100,8,44121,eur,71.4
C,03:03,78,13,41950,eur,73.1
C,08:02,45,14,40302,eur,56.8
C,02:02,80,12,37544,eur,70.0
C,01:02,106,12,37269,eur,55.1
C,17:01,21,4,24656,afr,56.2
C,15:02,80,5,21413,eur,56.5
C,02:10,11,2,16369,afr,81.5
C,14:02,51,4,14667,eur,48.1
C,07:04,32,2,13581,eur,72.5
C,12:02,63,3,10586,eur,56.0
C,08:01,44,5,9413,amr,61.1
C,03:02,40,7,8641,afr,44.6
C,15:05,21,5,7805,afr,41.0
C,18:01,3,1,7604,afr,86.0
C,16:02,24,1,4209,eur,52.9
C,03:05,2,1,2851,amr,97.2
C,08:04,4,2,2543,afr,87.4
C,03:06,2,2,1574,amr,99.7
C,14:03,5,1,1307,afr,42.4
C,16:04,4,1,1298,eur,74.0
C,04:03,12,1,1238,eas,70.4
C,08:03,7,3,1228,amr,62.2
C,15:09,2,1,957,amr,94.6
C,15:04,6,1,380,eur,64.2
C,04:04,2,2,350,amr,57.1
C,04:07,2,1,330,afr,77.3
C,03:07,3,2,216,amr,54.2
C,15:06,4,1,204,eur,77.0
C,08:94,0,0,174,eur,40.2
C,12:04,4,1,174,eas,63.8
C,05:09,3,2,167,amr,86.2
C,07:05,0,0,160,afr,90.6
C,04:13,1,1,155,afr,87.1
C,05:29,2,2,151,eur,65.6
C,02:14,2,1,138,afr,94.2
C,03:136,0,0,131,eur,67.9
C,07:19,0,1,123,eur,59.3
C,12:05,3,1,98,eur,70.4
C,07:27,2,2,96,eur,58.3
C,07:17,4,2,90,amr,98.9
C,04:06,3,1,88,eas,89.8
C,01:03,3,1,88,eas,92.0
C,06:08,0,0,77,afr,77.9
C,03:32,1,1,77,eur,76.6
C,03:344,1,1,77,eur,68.8
C,15:11,0,0,68,eur,92.6
C,07:26,3,1,66,sas,87.9
C,12:12,0,0,57,amr,93.0
C,03:38,2,2,57,afr,40.4
C,07:06,7,1,56,afr,66.1
C,04:360,0,1,54,eur,50.0
C,03:19,0,0,54,eur,83.3
C,03:14,0,1,53,eur,98.1
C,03:132,2,1,53,eur,35.8
C,05:05,2,1,49,eur,83.7
C,05:43,0,0,47,eur,80.9
C,06:09,2,1,46,afr,76.1
C,12:13,1,1,41,eur,92.7
C,06:06,1,1,40,eur,72.5
C,08:13,0,0,40,afr,72.5
C,03:10,2,2,39,eur,79.5
C,07:35,0,1,38,afr,78.9
C,14:04,0,0,37,eur,94.6
C,03:08,0,0,36,amr,94.4
C,02:06,2,1,33,eur,90.9
C,08:37,0,0,30,eur,70.0
C,02:08,1,1,29,eur,72.4
C,03:09,2,1,26,eur,92.3
C,07:07,0,0,25,eur,68.0
C,03:113,2,2,23,eur,87.0
C,03:16,0,0,23,eur,78.3
C,01:131,0,0,22,eur,72.7
C,08:10,0,0,22,amr,100.0
C,07:41,0,0,21,eur,85.7
C,07:29,2,1,21,sas,71.4
C,03:41,2,1,20,eur,65.0
C,03:163,0,0,20,afr,35.0
C,07:10,0,0,19,eur,89.5
C,07:578,0,0,18,eur,72.2
C,03:297,0,0,17,eur,64.7
C,07:21,0,0,17,eur,76.5
C,03:17,2,1,17,eas,100.0
C,05:08,0,0,17,eur,88.2
C,01:08,0,0,17,eas,100.0
C,06:07,0,0,15,eur,93.3
C,03:64,2,2,15,eur,60.0
C,05:78,2,2,15,eur,66.7
C,04:10,0,1,15,sas,80.0
C,07:46,0,0,13,eur,100.0
C,03:167,0,0,13,amr,92.3
C,17:04,0,0,13,afr,100.0
C,15:07,1,1,13,sas,69.2
C,03:18,3,1,12,eur,91.7
C,03:60,0,0,12,eas,33.3
C,04:15,3,2,12,eur,75.0
C,08:12,1,1,11,eur,63.6
C,12:16,2,1,11,eur,100.0
C,05:281,0,0,11,eur,81.8
C,07:22,0,1,10,eur,90.0
C,08:06,0,0,10,amr,80.0
C,07:68,0,0,10,eur,100.0
C,14:06,0,0,10,amr,100.0
C,06:04,2,1,10,eur,100.0
C,05:16,0,0,10,eur,100.0
C,05:11,0,0,9,afr,88.9
C,03:40,4,2,9,eur,88.9
C,03:87,2,2,9,eur,88.9
C,07:28,0,0,9,afr,100.0
C,03:385,0,0,9,eur,66.7
C,04:05,0,0,9,eur,100.0
C,06:30,1,1,9,eur,88.9
C,06:11,0,0,9,eur,88.9
C,08:30,0,0,9,eur,77.8
C,08:05,0,0,8,eur,87.5
C,03:246,0,0,8,eur,62.5
C,01:07,2,1,8,eur,100.0
C,07:184,0,0,8,afr,100.0
C,05:04,2,2,8,amr,87.5
C,07:93,2,1,8,eur,62.5
C,05:156,0,0,8,eur,100.0
C,07:112,0,0,8,afr,100.0
C,04:33,0,0,8,eur,37.5
C,03:536,2,1,8,afr,50.0
C,18:02,5,2,8,afr,100.0
C,07:18,15,2,8,afr,62.5
C,08:16,2,1,7,amr,85.7
C,03:47,0,0,7,amr,100.0
C,01:06,0,0,7,eas,85.7
C,07:368,2,2,7,eur,85.7
C,05:104,0,0,7,eur,100.0
C,05:10,0,0,7,eur,85.7
C,03:39,0,0,7,eur,85.7
C,16:07,2,2,7,afr,71.4
C,08:15,2,1,7,eur,71.4
C,02:19,0,0,7,eur,100.0
C,01:17,0,0,7,eur,42.9
C,08:28,0,0,7,amr,42.9
C,05:14,0,0,7,eur,100.0
C,07:173,0,0,6,afr,100.0
C,03:151,2,0,6,eur,100.0
C,04:65,1,1,6,eur,100.0
C,07:51,0,0,6,eur,66.7
C,12:07,0,0,6,afr,100.0
C,08:134,0,0,6,eur,66.7
C,08:25,0,0,6,eur,66.7
C,12:28,0,0,6,eur,50.0
C,03:11,2,1,6,eur,66.7
C,03:121N,0,0,6,afr,100.0
C,02:26,3,3,6,eur,66.7
C,03:94,2,1,6,eur,66.7
C,08:53,0,0,6,eur,66.7
C,06:127,2,2,6,afr,66.7
C,08:183,0,0,5,eur,40.0
C,01:27,0,0,5,eur,100.0
C,02:31,2,1,5,eur,100.0
C,04:08,0,0,5,afr,100.0
C,15:22,0,0,5,afr,80.0
C,03:43,2,1,5,eur,80.0
C,05:64,2,1,5,eur,60.0
C,05:111,0,0,5,eur,80.0
C,04:19,0,0,5,amr,100.0
C,05:58,4,3,5,eur,100.0
C,07:60,0,0,5,eur,100.0
C,03:27,0,0,5,amr,100.0
C,07:1136,0,0,5,amr,40.0
C,16:08,0,0,4,afr,100.0
C,15:17,0,0,4,amr,75.0
C,02:04,0,0,4,amr,100.0
C,15:16,2,1,4,eur,100.0
C,03:591,0,0,4,eur,75.0
C,04:180,3,1,4,afr,75.0
C,02:07,0,0,4,eur,50.0
C,08:08,2,1,4,amr,100.0
C,04:24,0,0,4,eur,50.0
C,15:24,0,0,4,eur,100.0
C,08:11,0,0,4,amr,100.0
C,07:31,2,2,4,eur,100.0
C,05:36,0,0,4,eur,75.0
C,12:14,2,1,4,eur,100.0
C,03:165,2,1,4,eur,75.0
C,02:27,2,1,4,eur,50.0
C,03:37,2,2,4,eas,50.0
C,15:08,2,2,4,amr,100.0
C,04:17,0,0,4,amr,100.0
C,18:03,0,0,4,afr,100.0
C,08:19,2,1,4,eur,50.0
C,15:10,4,2,4,sas,50.0
C,03:36,0,0,4,eas,100.0
C,03:431,0,0,4,eas,50.0
C,18:04,0,0,3,afr,100.0
C,06:106,2,2,3,eur,100.0
C,06:252,0,0,3,eur,100.0
C,05:25,0,0,3,eur,66.7
C,07:24,2,0,3,eur,100.0
C,14:05,0,0,3,eur,100.0
C,07:56,2,1,3,eas,100.0
C,04:114,0,0,3,afr,66.7
C,04:27,0,0,3,afr,100.0
C,07:85,0,0,3,eur,100.0
C,15:27,0,0,3,amr,100.0
C,04:54,2,1,3,eur,66.7
C,08:72,2,2,3,eur,66.7
C,03:257,0,0,3,afr,33.3
C,05:46,1,1,3,afr,66.7
C,03:683,0,0,3,eur,66.7
C,07:76,2,2,3,afr,33.3
C,05:269,0,0,3,amr,33.3
C,07:25,0,0,3,eur,100.0
C,04:36,0,0,3,eur,66.7
C,03:70,0,0,3,amr,66.7
C,03:44,0,0,3,eur,100.0
C,05:171,1,1,3,eur,100.0
C,07:40,0,0,3,eur,100.0
C,06:87,0,1,3,eur,66.7
C,03:126,0,0,3,eur,66.7
C,01:32,2,1,3,eur,100.0
C,12:59,0,0,3,afr,100.0
C,12:18,2,1,3,eur,66.7
C,12:98,0,0,3,amr,66.7
C,07:104N,0,0,2,eur,100.0
C,01:146,2,1,2,eur,100.0
C,07:16,0,0,2,eur,100.0
C,03:140,1,1,2,eur,100.0
C,03:343,0,0,2,eur,100.0
C,04:113,0,0,2,amr,50.0
C,12:19,0,0,2,afr,100.0
C,07:255,0,0,2,afr,100.0
C,03:35,2,1,2,amr,50.0
C,07:448,0,0,2,eur,100.0
C,03:15,0,0,2,afr,50.0
C,06:13,0,0,2,eur,100.0
C,04:37,0,0,2,eur,100.0
C,07:731,0,0,2,eur,100.0
C,04:11,0,0,2,eur,100.0
C,02:03,0,0,2,eur,100.0
C,03:85,0,0,2,eas,100.0
C,07:453,0,0,2,eur,100.0
C,05:77,0,0,2,eur,100.0
C,07:38,2,1,2,eur,100.0
C,08:62,2,2,2,amr,50.0
C,08:32,0,0,2,afr,100.0
C,03:293,0,0,2,afr,50.0
C,07:127,2,1,2,eur,100.0
C,14:46,2,2,2,eur,50.0
C,06:58,0,0,2,eur,100.0
C,17:40,0,0,2,eur,100.0
C,07:514,2,1,2,eur,100.0
C,03:309,2,1,2,eur,100.0
C,05:288,0,0,2,eur,100.0
C,15:43,0,0,2,amr,100.0
C,07:12,0,0,2,eur,100.0
C,07:119,0,0,2,eur,100.0
C,05:13,0,0,2,eur,100.0
C,16:139,0,0,2,amr,50.0
C,04:103,2,1,2,eur,100.0
C,01:23,0,0,2,eur,100.0
C,03:13,2,1,2,eur,100.0
C,07:314,3,1,2,eur,50.0
C,03:88,0,0,2,sas,100.0
C,07:44,0,0,2,eur,100.0
C,07:155,0,0,2,amr,50.0
C,06:218,0,0,2,eur,100.0
C,04:64,2,2,2,amr,50.0
C,08:239,0,0,2,amr,50.0
C,07:13,1,1,2,eur,100.0
C,03:117,0,0,2,afr,50.0
C,07:95,0,1,2,eur,100.0
C,07:36,0,0,2,eur,100.0
C,03:82,0,0,2,eur,50.0
C,05:42,0,0,2,eur,50.0
C,03:21,0,0,2,eas,100.0
C,04:94,2,1,2,eur,50.0
C,03:535,1,1,2,eur,50.0
C,08:23,0,0,2,eur,100.0
C,03:48,0,0,1,eur,100.0
C,16:25,0,0,1,afr,100.0
C,08:218,0,0,1,eur,100.0
C,03:115,2,1,1,afr,100.0
C,07:459,0,0,1,afr,100.0
C,07:106,0,0,1,eur,100.0
C,12:122,0,0,1,eur,100.0
C,08:119,0,0,1,amr,100.0
C,03:42,2,1,1,eur,100.0
C,06:38,0,0,1,eur,100.0
C,16:09,0,0,1,amr,100.0
C,06:14,0,0,1,eur,100.0
C,05:121,0,0,1,eur,100.0
C,12:94,0,0,1,eur,100.0
C,07:252,0,0,1,amr,100.0
C,06:76,2,1,1,eur,100.0
C,03:34,0,0,1,eur,100.0
C,01:70,0,0,1,eur,100.0
C,12:85,3,1,1,eur,100.0
C,03:67,0,0,1,afr,100.0
C,07:123,2,1,1,eur,100.0
C,06:74Q,0,0,1,sas,100.0
C,03:645,0,0,1,eas,100.0
C,07:201,0,0,1,eur,100.0
C,04:29,0,0,1,eur,100.0
C,07:15,0,0,1,eur,100.0
C,04:223,2,1,1,amr,100.0
C,03:69,0,0,1,eur,100.0
C,08:111,0,0,1,amr,100.0
C,01:54,0,0,1,afr,100.0
C,07:360,0,0,1,eur,100.0
C,07:456,0,0,1,eur,100.0
C,07:234,0,0,1,eur,100.0
C,03:304,0,0,1,eas,100.0
C,07:1094,0,0,1,amr,100.0
C,07:600,2,1,1,afr,100.0
C,03:192,0,0,1,eur,100.0
C,06:34,2,1,1,mid,100.0
C,03:45,0,0,1,amr,100.0
C,07:43,2,1,1,eas,100.0
C,06:182,0,0,1,eur,100.0
C,03:159,0,0,1,amr,100.0
C,12:45,0,0,1,eur,100.0
C,14:11,0,0,1,eur,100.0
C,12:09,0,0,1,amr,100.0
C,03:454,0,0,1,eur,100.0
C,03:307,0,0,1,eur,100.0
C,01:67,0,0,1,amr,100.0
C,03:282,0,0,1,eur,100.0
C,04:202,2,1,1,afr,100.0
C,08:163,0,0,1,amr,100.0
C,12:06,0,0,1,eur,100.0
C,03:28,0,0,1,eur,100.0
C,01:58,0,0,1,eur,100.0
C,06:210,0,0,1,eur,100.0
C,03:272,0,0,1,eas,100.0
C,03:710,0,0,1,eur,100.0
C,03:56,0,0,1,eas,100.0
C,03:243,0,0,1,eur,100.0
C,02:43,2,1,1,eur,100.0
C,08:302N,0,0,1,amr,100.0
C,03:31,0,0,1,eur,100.0
C,12:54,0,0,1,afr,100.0
C,05:22,2,1,1,eur,100.0
C,07:20,2,1,1,eas,100.0
C,12:68,0,0,1,eur,100.0
C,03:55,0,0,1,eur,100.0
C,01:273,0,0,1,eas,100.0
C,06:32,0,0,1,afr,100.0
C,03:256,0,0,1,amr,100.0
C,07:553,0,0,1,eur,100.0
C,08:276,0,0,1,afr,100.0
C,03:296,2,1,1,amr,100.0
C,07:400,0,0,1,eur,100.0
C,02:17,0,0,1,afr,100.0
C,03:396,2,1,1,eur,100.0
C,07:439,0,0,1,eur,100.0
C,06:23,0,0,1,eur,100.0
C,16:38,0,0,1,eur,100.0
C,03:179,0,0,1,amr,100.0
C,18:12,0,0,1,afr,100.0
